"ckId";"jId";"clicks";"landClicks";"orderValue"
"3179727124122566893";"1";"41";"com/others";"31.05"
"3179727124122566893";"2";"7";"com";"49.79"
"3179728071313863645";"1";"1";"com";"41.39"
"3179728071313863645";"2";"2";"com";"37.52"
"3179731277758609629";"1";"74";"com/others";"31.60"
"3179731277758609629";"2";"5";"com";"23.52"
"3179735615222585437";"1";"4";"com";"22.16"
"3179735615222585437";"2";"2";"com";"41.19"
"3179736707167696813";"1";"8";"com/others";"20.59"
"3179736707167696813";"2";"14";"com";"16.60"
"3179737151428376797";"1";"1";"com";"20.17"
"3179737151428376797";"2";"2";"com";"18.32"
"3179738123265382493";"1";"13";"com";"81.41"
"3179738123265382493";"2";"4";"com";"83.52"
"3179738873022386341";"1";"49";"com";"56.00"
"3179738873022386341";"2";"8";"com";"53.00"
"3179739938593708125";"1";"2";"com/others";"69.00"
"3179739938593708125";"2";"4";"com/others";"74.80"
"3179741429534571045";"1";"1";"com";"45.97"
"3179741429534571045";"2";"3";"com";"23.99"
"3179741719746843045";"1";"17";"com/others";"38.28"
"3179741719746843045";"2";"11";"com";"37.75"
"3179741967311443581";"1";"13";"com/others";"77.59"
"3179741967311443581";"2";"26";"com";"37.76"
"3179742112082035845";"1";"37";"com/de/others";"21.50"
"3179742112082035845";"2";"13";"com";"10.99"
"3179742911197626293";"1";"21";"com/de/others";"32.60"
"3179742911197626293";"2";"5";"com";"33.51"
"3179744322681570437";"1";"15";"com/others";"50.00"
"3179744322681570437";"2";"2";"com";"16.60"
"3179744794825995229";"1";"15";"com/others";"50.16"
"3179744794825995229";"2";"82";"com/others";"20.80"
"3179745294518589533";"1";"3";"com";"20.80"
"3179745294518589533";"2";"2";"com";"41.60"
"3179745741060970589";"1";"4";"com";"42.36"
"3179745741060970589";"2";"3";"com/others";"56.31"
"3179746644061075373";"1";"2";"com";"20.80"
"3179746644061075373";"2";"10";"com";"19.12"
"3179747801202427013";"1";"47";"com";"16.75"
"3179747801202427013";"2";"17";"com";"73.50"
"3179747931091632365";"1";"2";"com";"53.65"
"3179747931091632365";"2";"1";"com";"62.38"
"3179750728574974173";"1";"1";"com";"20.80"
"3179750728574974173";"2";"14";"com/de";"52.52"
"3179751652815025117";"1";"3";"com";"35.46"
"3179751652815025117";"2";"2";"com";"20.80"
"3179757335174189221";"1";"35";"com/de/others";"33.42"
"3179757335174189221";"2";"39";"com";"33.87"
"3179758895337846701";"1";"3";"com";"16.76"
"3179758895337846701";"2";"5";"com";"46.13"
"3179758967815411805";"1";"1";"com";"68.98"
"3179758967815411805";"2";"1";"com";"25.00"
"3179760614079730085";"1";"1";"com";"45.81"
"3179760614079730085";"2";"12";"com/others";"80.68"
"3179762199912513773";"1";"10";"com";"100.63"
"3179762199912513773";"2";"9";"com";"128.88"
"3179764066059033925";"1";"4";"com";"50.42"
"3179764066059033925";"2";"2";"com";"23.90"
"3179765927809908973";"1";"2";"com";"41.60"
"3179765927809908973";"2";"1";"com";"31.60"
"3179766053387385053";"1";"29";"com/others";"16.72"
"3179766053387385053";"2";"3";"com";"16.72"
"3179768856608511613";"1";"2";"com";"20.80"
"3179768856608511613";"2";"20";"com";"24.82"
"3179771815824201821";"1";"3";"com/others";"52.06"
"3179771815824201821";"2";"3";"com";"46.55"
"3179772218091504773";"1";"1";"com";"17.69"
"3179772218091504773";"2";"7";"com/others";"17.69"
"3179773544632434613";"1";"22";"com/others";"52.80"
"3179773544632434613";"2";"2";"com";"52.80"
"3179774062326976933";"1";"1";"com";"75.25"
"3179774062326976933";"2";"1";"com";"86.44"
"3179774246658248869";"1";"13";"com";"51.82"
"3179774246658248869";"2";"47";"com/others";"36.75"
"3179775612776619333";"1";"4";"com";"29.79"
"3179775612776619333";"2";"1";"com";"33.58"
"3179776186188306525";"1";"37";"com/others";"54.97"
"3179776186188306525";"2";"13";"com";"89.37"
"3179776744500498597";"1";"4";"com";"23.27"
"3179776744500498597";"2";"18";"com";"22.17"
"3179777284139663285";"1";"11";"com";"27.69"
"3179777284139663285";"2";"5";"com";"20.99"
"3179778865140610013";"1";"6";"com";"47.65"
"3179778865140610013";"2";"3";"com";"33.32"
"3179778938440253677";"1";"12";"com";"20.80"
"3179778938440253677";"2";"22";"com";"25.17"
"3179779089602983853";"1";"6";"com/others";"45.59"
"3179779089602983853";"2";"4";"com";"15.80"
"3179779334030242781";"1";"8";"com";"25.17"
"3179779334030242781";"2";"5";"com";"42.40"
"3179782163088284997";"1";"44";"com/others";"23.49"
"3179782163088284997";"2";"22";"com/others";"0.50"
"3179784036063131565";"1";"11";"com";"47.90"
"3179784036063131565";"2";"18";"com";"62.66"
"3179785410452658269";"1";"2";"com";"77.76"
"3179785410452658269";"2";"3";"com";"22.73"
"3179789798315398781";"1";"59";"com";"16.75"
"3179789798315398781";"2";"4";"com";"25.00"
"3179790802515656941";"1";"3";"com";"23.91"
"3179790802515656941";"2";"32";"com";"46.60"
"3179791054475891109";"1";"4";"com";"51.88"
"3179791054475891109";"2";"5";"com";"37.42"
"3179792592510386413";"1";"41";"com";"25.17"
"3179792592510386413";"2";"8";"com";"47.57"
"3179793764952588213";"1";"2";"com";"20.80"
"3179793764952588213";"2";"1";"com";"20.80"
"3179795269113885661";"1";"4";"com/others";"31.51"
"3179795269113885661";"2";"11";"com/others";"41.46"
"3179798326778271357";"1";"2";"com";"47.55"
"3179798326778271357";"2";"6";"com";"86.77"
"3179799902930604453";"1";"1";"com";"25.17"
"3179799902930604453";"2";"2";"com";"25.17"
"3179800274747274205";"1";"9";"com";"44.71"
"3179800274747274205";"2";"4";"com";"36.97"
"3179800845977925853";"1";"33";"com";"35.86"
"3179800845977925853";"2";"7";"com";"31.93"
"3179802208455638965";"1";"79";"com";"33.57"
"3179802208455638965";"2";"20";"com";"30.88"
"3179803156770994093";"1";"6";"com";"33.49"
"3179803156770994093";"2";"2";"com";"28.99"
"3179804045242013789";"1";"14";"com/de";"64.08"
"3179804045242013789";"2";"13";"com";"56.69"
"3179805112105177509";"1";"15";"com/others";"33.53"
"3179805112105177509";"2";"30";"com";"70.76"
"3179807720878380669";"1";"1";"com";"20.80"
"3179807720878380669";"2";"4";"com";"20.80"
"3179810040060067765";"1";"1";"com";"47.48"
"3179810040060067765";"2";"2";"com";"24.79"
"3179810786830719069";"1";"65";"com/others";"86.61"
"3179810786830719069";"2";"20";"com";"22.17"
"3179813100626917925";"1";"1";"com";"43.53"
"3179813100626917925";"2";"6";"com";"29.57"
"3179813562319114661";"1";"1";"com";"54.80"
"3179813562319114661";"2";"1";"com";"63.21"
"3179813831006231877";"1";"3";"com";"37.61"
"3179813831006231877";"2";"14";"com/others";"28.95"
"3179813981883742429";"1";"5";"com/others";"25.00"
"3179813981883742429";"2";"10";"com";"16.76"
"3179816467243743149";"1";"6";"com/others";"47.10"
"3179816467243743149";"2";"2";"com";"45.80"
"3179817771152194085";"1";"5";"com";"16.76"
"3179817771152194085";"2";"1";"com";"19.08"
"3179818970639251373";"1";"31";"com";"16.60"
"3179818970639251373";"2";"8";"com";"38.26"
"3179821814058596901";"1";"18";"com/de";"24.36"
"3179821814058596901";"2";"20";"com/others";"25.17"
"3179822861141424349";"1";"20";"com/others";"73.30"
"3179822861141424349";"2";"3";"com";"77.58"
"3179827359649890541";"1";"13";"com";"131.99"
"3179827359649890541";"2";"35";"com";"66.71"
"3179827976078366333";"1";"15";"com";"64.95"
"3179827976078366333";"2";"3";"com";"21.60"
"3179828931322721245";"1";"15";"com";"62.40"
"3179828931322721245";"2";"6";"com";"62.40"
"3179829806355191901";"1";"13";"com";"32.57"
"3179829806355191901";"2";"5";"com";"81.60"
"3179831816567653509";"1";"35";"com";"10.80"
"3179831816567653509";"2";"47";"com";"8.36"
"3179834141587805821";"1";"11";"com";"74.80"
"3179834141587805821";"2";"13";"com";"66.60"
"3179835726346846445";"1";"10";"com";"53.53"
"3179835726346846445";"2";"8";"com";"58.31"
"3179837111356358893";"1";"5";"com/others";"17.60"
"3179837111356358893";"2";"6";"com/others";"34.17"
"3179837393448474237";"1";"7";"com/de/others";"38.68"
"3179837393448474237";"2";"22";"com/others";"58.29"
"3179838812683516125";"1";"5";"com/de";"15.50"
"3179838812683516125";"2";"4";"com";"36.86"
"3179839273419422245";"1";"20";"com";"79.01"
"3179839273419422245";"2";"39";"com";"60.72"
"3179839479208746309";"1";"4";"com/others";"60.50"
"3179839479208746309";"2";"4";"com/others";"20.80"
