ckId;jId;clicks;orderValue
468;2;5;75.17
469;1;6;66.76
469;2;14;60.16
470;1;4;71.18
470;2;4;40.72
471;1;17;22.9
471;2;16;51.64
472;1;4;51.89
472;2;24;58.53
473;1;23;33.57
473;2;4;40.72
474;1;5;52.7
474;2;4;69.13
475;1;17;27.52
475;2;34;30.54
476;1;23;81.43
476;2;25;31.83
477;1;22;45.81
477;2;18;25
478;1;9;64.41
478;2;1;25.17
479;1;3;18.91
479;2;8;40.35
480;1;8;53.79
480;2;7;36.5
481;1;10;51.75
481;2;3;58.2
482;1;1;39.71
482;2;1;34.71
483;1;3;70.8
483;2;1;46.32
484;1;1;79.25
484;2;1;113.25
485;1;21;25.54
485;2;4;25.02
486;1;7;21.3
486;2;37;23.53
487;1;20;20.59
487;2;15;25
488;1;20;54.37
488;2;17;52.4
489;1;9;18.91
489;2;3;23.53
490;1;37;25
490;2;3;20.8
491;1;1;25.17
491;2;1;20.8
492;1;2;36.97
492;2;6;80.71
493;1;1;20.8
493;2;1;20.8
494;1;1;106.43
494;2;6;15.8
495;1;84;39.49
495;2;94;45.59
496;1;3;20.8
496;2;8;22.56
497;1;1;33.53
497;2;2;25.17
498;1;18;41.96
498;2;5;20.36
499;1;3;28.99
499;2;2;41.09
500;1;2;84.99
500;2;5;70.46
501;1;7;76.06
501;2;1;68.07
502;1;13;30.01
502;2;20;65.14
503;1;1;16.6
503;2;1;16.6
504;1;3;66.4
504;2;8;70.8
505;1;21;35.77
505;2;25;45.97
506;1;4;62.65
506;2;2;57.4
507;1;51;59.7
507;2;13;64.42
508;1;1;20.8
508;2;2;41.32
509;1;2;31.47
509;2;1;46.76
510;1;1;41.6
510;2;3;60.21
511;1;13;62.24
511;2;18;48.28
512;1;5;80.94
512;2;2;37.4
513;1;18;41.56
513;2;1;34.17
514;1;1;20.8
514;2;1;16.76
515;1;1;22.56
515;2;2;16.76
516;1;2;50.14
516;2;2;25.66
517;1;1;77.28
517;2;1;63.4
518;1;4;34.17
518;2;12;25.17
519;1;7;26
519;2;13;26
520;1;13;45.8
520;2;10;70.61
521;1;1;41.6
521;2;1;41.6
522;1;1;20.8
522;2;3;20.8
523;1;8;20.8
523;2;1;22.56
524;1;2;20.8
524;2;1;25.66
525;1;1;68.53
525;2;1;22.73
526;1;62;16.72
526;2;18;20.8
527;1;1;57.57
527;2;2;38.28
528;1;16;16.76
528;2;8;66.77
529;1;5;37.61
529;2;34;33.47
530;1;13;6.39
530;2;18;20.59
531;1;6;21.72
531;2;17;21.72
532;1;20;45.83
532;2;12;39.46
533;1;1;20.8
533;2;2;25.66
534;1;1;20.8
534;2;2;20.8
535;1;1;37.4
535;2;1;20.8
536;1;14;68.15
536;2;17;66.46
537;1;82;16.75
537;2;41;54.33
538;1;2;32.6
538;2;7;38.87
539;1;1;16.6
539;2;8;30
540;1;5;20.8
540;2;1;20.8
541;1;5;75.35
541;2;3;41.77
542;1;2;49.75
542;2;2;58.26
543;1;5;30.01
543;2;8;20.8
544;1;48;54.31
544;2;46;62.48
545;1;1;78.64
545;2;1;60.5
546;1;40;8.36
546;2;16;16.72
547;1;26;35.63
547;2;13;29.16
548;1;1;20.8
548;2;2;25.66
549;1;83;46.45
549;2;13;28.7
550;1;2;52.18
550;2;5;55.46
551;1;4;21.76
551;2;18;50.27
552;1;1;26.1
552;2;2;36.38
553;1;46;69.82
553;2;9;22.02
554;1;1;20.8
554;2;1;25.66
555;1;1;20.8
555;2;1;20.8
556;1;20;54.13
556;2;54;39.5
557;1;1;20.8
557;2;1;20.8
558;1;4;61.22
558;2;7;75.51
559;1;4;41.6
559;2;2;30.01
560;1;2;41.6
560;2;1;22.56
561;1;6;41.6
561;2;3;41.6
562;1;10;33.57
562;2;4;25
563;1;78;32.26
563;2;33;28.99
564;1;2;28.99
564;2;11;70.28
565;1;3;30
565;2;3;25.97
566;1;6;18.99
566;2;3;21.6
567;1;1;30
567;2;2;25.66
568;1;9;32.6
568;2;8;13.36
569;1;1;20.8
569;2;1;20.8
570;1;16;55.42
570;2;1;30.17
571;1;2;22.56
571;2;1;73.07
572;1;50;58.83
572;2;35;95.95
573;1;6;47.81
573;2;7;19.75
574;1;60;58.57
574;2;21;60.42
575;1;47;90.56
575;2;37;20.8
576;1;1;28.99
576;2;4;37.42
577;1;1;41.6
577;2;1;25.66
578;1;2;48.32
578;2;4;59.88
579;1;1;51.89
579;2;1;22.56
580;1;25;35.09
580;2;24;58.16
581;1;9;78.85
581;2;16;20.8
582;1;13;54.16
582;2;10;58.25
583;1;5;37.48
583;2;5;29.52
584;1;8;165.09
584;2;2;141.61
585;1;10;31.51
585;2;12;22.89
586;1;8;26.76
586;2;44;36.5
587;1;1;49.79
587;2;3;20.8
588;1;10;26.5
588;2;6;21.5
589;1;8;41.83
589;2;16;36.93
590;1;2;64.31
590;2;1;47.73
591;1;33;41.77
591;2;3;25.17
592;1;12;45.77
592;2;49;49.96
593;1;4;28.99
593;2;14;28.49
594;1;17;20.8
594;2;45;43.71
595;1;2;50
595;2;2;27.48
596;1;1;78.03
596;2;1;66.64
597;1;10;20.8
597;2;2;25.8
598;1;10;16.75
598;2;11;41.6
599;1;1;60.51
599;2;3;52.97
600;1;31;83.85
600;2;1;25.17
601;1;62;20.59
601;2;29;16.6
602;1;33;20.17
602;2;16;29.37
603;1;9;34.17
603;2;4;20.8
604;1;20;66.6
604;2;3;16.6
605;1;12;20.59
605;2;16;32.77
606;1;11;39.45
606;2;4;25.17
607;1;3;22.56
607;2;1;20.8
